peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,coord,news
KAND,Kande Hiunchuli,6627,Climbed,1972.0,Japan,KAND72301,"('29.2371829', '82.7897262')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KANG,Kangchenjunga,8586,Climbed,1955.0,UK,KANG55101,"('29.3759672', '82.6378812')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
KANS,Kangchenjunga South,8476,Climbed,1978.0,Poland,KANS78101,"('28.750208999999998', '84.85203078526125')",https://www.guelphtoday.com/national-sports/canadas-speedskaters-win-world-cup-gold-in-team-pursuit-6528371
KARY,Karyolung,6530,Climbed,1982.0,Japan,KARY82301,"('27.7923233', '86.817056')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KCHN,Kangchung Nup,6043,Climbed,1953.0,UK,KCHN53101,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
KGUR,Kang Guru,6981,Climbed,1955.0,W Germany,KGUR55201,"('28.4895076', '84.1886093')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
KHAT,Khatang,6790,Climbed,1982.0,Japan,KHAT82301,"('28.256616', '85.5168032')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KJER,Kanjeralwa,6612,Climbed,1973.0,Japan,KJER73101,"('28.1964383', '85.8001908')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KJRS,Kanjiroba South,6883,Climbed,1970.0,Japan,KJRS70301,"('48.8781677', '2.3262361')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
KOTA,Kotang,6148,Climbed,1982.0,Inida,KOTA82301,"('28.7797894', '83.4607345')",https://www.indiatvnews.com/news/india/coal-production-rises-to-34-million-tonnes-in-first-half-of-may-latest-national-news-updates-2022-05-25-779168
KTEG,Kangtega,6783,Climbed,1963.0,New Zealand,KTEG63101,"('24.6421', '105.534')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
KUSU,Kusum Kanguru,6370,Climbed,1981.0,New Zealand,KUSU81302,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
KWAN,Kwangde,6186,Climbed,1978.0,Japan,KWAN78301,"('27.9587777', '86.9437958')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LAMJ,Lamjung Himal,6983,Climbed,1974.0,UK,LAMJ74101,"('28.2177782', '85.714613')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
LANG,Langtang Lirung,7227,Climbed,1978.0,Japan,LANG78301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LANR,Langtang Ri,7205,Climbed,1981.0,Japan,LANR81301,"('27.9140498', '87.0804271')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LEON,Leonpo Gang,6979,Climbed,1962.0,Japan,LEON62101,"('27.8911991', '87.0886361')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LHAS,Lha Shamma,6412,Climbed,1962.0,UK,LHAS62101,"('28.5499829', '84.5597284')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
LHOT,Lhotse,8516,Climbed,1956.0,Switzerland,LHOT56101,"('28.5839234', '84.5491371')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
MUKT,Mukut Himal,6087,Climbed,1967.0,Netherlands,MUKT67301,"(None, None)",https://www.cp24.com/news/ottawa-spending-2m-on-new-unmarked-graves-report-lacks-transparency-official-1.6268898
LNPO,Langpo,6965,Climbed,1909.0,UK,LNPO09301,"('28.4737691', '83.9275346')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
LOBE,Lobuje East,6090,Climbed,1984.0,USA,LOBE84101,"('27.7098398', '86.8686622')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
LOBW,Lobuje West,6135,Climbed,1984.0,Japan,LOBW84301,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
LSHR,Lhotse Shar,8382,Climbed,1970.0,Austria,LSHR70101,"('43.5737361', '-116.559631')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
LSIS,Langshisa Ri,6412,Climbed,1982.0,Japan,LSIS82101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
BTAK,Bhairab Takura,6799,Climbed,1960.0,Japan,BTAK60101,"('27.7768189', '88.1826901')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
MAK2,Makalu II,7678,Climbed,1954.0,UK,MAK254301,"('28.1058708', '86.7054038')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
MAKA,Makalu,8485,Climbed,1955.0,France,MAKA55101,"(None, None)",https://www.24heures.ch/a-chartres-la-manif-de-ceux-qui-nont-pas-lhabitude-de-manifester-339240566819
MANA,Manaslu,8163,Climbed,1956.0,Japan,MANA56101,"('28.6783794', '83.7353837')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
MANN,Manaslu North,6994,Climbed,1964.0,Netherlands,MANN64301,"('28.689076', '83.7440554')",https://www.cp24.com/news/ottawa-spending-2m-on-new-unmarked-graves-report-lacks-transparency-official-1.6268898
MANP,Manapathi,6380,Climbed,1956.0,Argentina,MANP56101,"('28.6541082', '83.7296456')",https://www.brasil247.com/esporte/messi-e-finalista-do-premio-the-best-da-fifa-ao-lado-de-mbappe-e-benzema
MARD,Mardi Himal,5553,Climbed,1962.0,UK,MARD62101,"('27.7542227', '86.572647')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
MERA,Mera Peak,6470,Climbed,1953.0,UK,MERA53101,"('27.8602077', '86.8060351')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
NALA,Nalakankar North,6062,Climbed,2000.0,Japan,NALA00201,"('28.2776048', '85.1871278')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NAMP,Nampa,6729,Climbed,1972.0,Japan,NAMP72101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NCHU,Nupchu,6172,Climbed,1962.0,Japan,SPH462101,"('27.8377252', '86.5472278')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NEMJ,Nemjung,7140,Climbed,1983.0,Japan,NEMJ83301,"('27.957236', '87.0152042')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NEPA,Nepal Peak,7177,Climbed,1930.0,Austria,NEPA30101,"('28.1260087', '85.8674922')",https://www.guelphtoday.com/national-sports/canadas-cynthia-appiah-claims-monobob-bronze-at-world-cup-stop-in-austria-6528257
NGO2,Ngojumba Kang II,7743,Climbed,1965.0,Japan,NGO265101,"('1.83870975', '21.1110836823298')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NGOJ,Ngojumba Kang I,7916,Climbed,1982.0,S Korea,NGOJ82302,"('3.9610848', '107.9790697')",https://www.livemint.com/news/world/kim-jong-un-shows-off-daughter-missiles-at-n-korean-parade-11676099061735.html
NILC,Nilgiri Central,6940,Climbed,1979.0,Japan,NILC79101,"('40.842629450000004', '-73.08096999756388')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NILN,Nilgiri North,7061,Climbed,1962.0,Netherlands,NILN62301,"('14.8566915', '120.1259478')",https://www.cp24.com/news/ottawa-spending-2m-on-new-unmarked-graves-report-lacks-transparency-official-1.6268898
NILS,Nilgiri South,6839,Climbed,1978.0,Japan,NILS78301,"('27.9247682', '86.8331902')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NUMB,Numbur,6958,Climbed,1963.0,Japan,NUMB63101,"('27.8530782', '86.882962')",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
NUPT,Nuptse,7864,Climbed,1961.0,UK,NUPT61101,"('28.0160417', '86.8273988')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
OHMI,Ohmi Kangri,6839,Climbed,1985.0,Switzerland,OHMI85101,"('28.7482046', '83.1462685')",https://www.swissinfo.ch/eng/putin-opponent-mikhail-khodorkovsky-is-planning-for-a-change-of-guard-in-the-kremlin/48278272
PALD,Paldor,5903,Climbed,1949.0,UK,PALD49201,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
